Title,Score
Museru kurai no Ai wo Ageru (Choking on Love),8.05
Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost PainGhost in the Shell: Arise - Border 1: Ghost Pain,7.43
Seikai no Monshou Special,7.1
BanG Dream! Movie: Episode of Roselia - I: Yakusoku,7.73
"Mou Ippon! (""Ippon"" Again!)",7.38
"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story @comic (Tearmoon Empire)",7.65
Kuroko no Basket: Extra Game,7.86
Sidonia no Kishi Movie,7.23
Oyayubisagashi,6.92
Kin no Kuni Mizu no KuniGold Kingdom and Water Kingdom,7.2
Moonlight Mile 1st Season: Lift Off,7.13
Meitantei Conan OVA 07: Agasa-sensei no Chousenjou! Agasa vs Conan & Shounen TanteidanDetective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys,7.25
Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin (The Wrong Way to Use Healing Magic),7.16
Babel no Tegami,7.17
Nokori Ichinichi de Hametsu Flag Zenbu Heshiorimasu: Zamaa RTA Kiroku 24Hr.,7.55
Boku dake ga Inai MachiERASED,8.3
Mirai Nikki: Curse Diary (The Future Diary: Curse Diary),6.95
3 Level Combination,7.13
Toaru Kagaku no AcceleratorA Certain Scientific Accelerator,7.21
Kamisama Hajimemashita◎Kamisama Kiss Season 2,8.22
Ikkyuu-sanIkkyu the Little Monk,6.82
Allison to LilliaAllison & Lillia,7.33
Sakura Taisen (Sakura Wars),6.97
Sakura no Hana Saku Koro,7.08
Blue Seed,7.0
Hanayome-sama wa 16-sai,7.16
Venus ni Arazu,7.19
Kakukaku Shikajika (Blank Canvas: My So-Called Artist's Journey),8.53
Akahime Ranshin,6.97
Kamisama Kazoku,7.1
Kaze no Naka no Shoujo: Kinpatsu no Jeanie,7.04
Shingeki! Kyojin Chuugakkou (Attack on Titan: Junior High),7.05
Gosick W,7.14
Kami no Shizuku (The Drops of God),7.54
Monokuro Shounen Shoujo,7.76
Shakugan no Shana,7.61
Genshin: Dengeki Comic Anthology,7.39
"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVAMy Mental Choices Are Completely Interfering With My School Romantic Comedy OVA",7.15
"Kyou, Orenchi Yotteku? (Why Don't You Stop By My Home, Today?)",7.0
Kanojo to Himitsu to Koi Moyou,7.09
Oyome ni Ikenai!,7.24
Shin High School DxD,8.21
Date A Bullet: Dead or Bullet,7.57
Kekkai Sensen & BeyondBlood Blockade Battlefront & Beyond,7.78
Sangoku Rensenki: Otome no Heihou!,7.16
Blue Nathanael,6.93
Itou Junji Kyoufu Manga Collection: Ijimekko,7.47
30-pun de Wakaru! Kore made no Love Live!,7.1
Potion-danomi de Ikinobimasu! (I Shall Survive Using Potions!),7.19
